algorithm,function,seed_type,seed,best_f
RS,sphere,pilot,0,13.09077336341792
RS,sphere,pilot,1,12.504232808602634
RS,sphere,pilot,2,15.465882292452896
RS,sphere,pilot,3,13.853221685682847
RS,sphere,pilot,4,9.729372951027859
RS,sphere,final,100,13.971699733876603
RS,sphere,final,101,11.768000900968254
RS,sphere,final,102,16.675769832907424
RS,sphere,final,103,13.475923514951837
RS,sphere,final,104,9.886877825433409
RS,sphere,final,105,14.109695141723705
RS,sphere,final,106,11.463987908040005
RS,sphere,final,107,15.297950232335328
RS,sphere,final,108,12.551898761669236
RS,sphere,final,109,7.18620739467195
RS,sphere,final,110,13.754033293806616
RS,sphere,final,111,11.339785196103648
RS,sphere,final,112,8.285500202217818
RS,sphere,final,113,10.773642338815728
RS,sphere,final,114,8.849314694289683
RS,sphere,final,115,7.3335946620375445
RS,sphere,final,116,8.708092645924571
RS,sphere,final,117,13.66144368680696
RS,sphere,final,118,9.487059847563142
RS,sphere,final,119,8.63456887549172
HC,sphere,pilot,0,0.32404153055454704
HC,sphere,pilot,1,0.24679880007831304
HC,sphere,pilot,2,0.36990591462785954
HC,sphere,pilot,3,0.2808901268980393
HC,sphere,pilot,4,0.25692350238894135
HC,sphere,final,100,0.3666293598898468
HC,sphere,final,101,0.3939970910675312
HC,sphere,final,102,0.37750534820134396
HC,sphere,final,103,0.22196262282683574
HC,sphere,final,104,0.2566745125419881
HC,sphere,final,105,0.26072468938200744
HC,sphere,final,106,0.18113844577044458
HC,sphere,final,107,0.27380134603036244
HC,sphere,final,108,0.28782285315036493
HC,sphere,final,109,0.24961616016769958
HC,sphere,final,110,0.24568845839087577
HC,sphere,final,111,0.3022376015050828
HC,sphere,final,112,0.31104552924458523
HC,sphere,final,113,0.35371591610569114
HC,sphere,final,114,0.29255094082212973
HC,sphere,final,115,0.29759125674919995
HC,sphere,final,116,0.3112021304305461
HC,sphere,final,117,0.4180967084417591
HC,sphere,final,118,0.2677286651242241
HC,sphere,final,119,0.2577801051675571
SA,sphere,pilot,0,0.4855566941626947
SA,sphere,pilot,1,1.2498443382791757
SA,sphere,pilot,2,1.1866574898754505
SA,sphere,pilot,3,1.075091127911941
SA,sphere,pilot,4,1.5572854157625147
SA,sphere,final,100,0.716826926219123
SA,sphere,final,101,0.6889706627013286
SA,sphere,final,102,0.6814900759548871
SA,sphere,final,103,0.9766138260622599
SA,sphere,final,104,1.5127790822582363
SA,sphere,final,105,0.7202826814651001
SA,sphere,final,106,1.4623412914306086
SA,sphere,final,107,0.9627535979504872
SA,sphere,final,108,1.288969692461156
SA,sphere,final,109,0.633972677595977
SA,sphere,final,110,0.8514767420547416
SA,sphere,final,111,0.9910041876732267
SA,sphere,final,112,1.283195705196547
SA,sphere,final,113,1.5191533920780174
SA,sphere,final,114,0.8634534633172675
SA,sphere,final,115,1.1896510311832686
SA,sphere,final,116,0.79829009402409
SA,sphere,final,117,0.8690468904879503
SA,sphere,final,118,1.014704280038819
SA,sphere,final,119,0.826180118913843
ES,sphere,pilot,0,1.509898476339393
ES,sphere,pilot,1,1.45546561923751
ES,sphere,pilot,2,1.6878248392059365
ES,sphere,pilot,3,1.6533254900748033
ES,sphere,pilot,4,0.885594896707383
ES,sphere,final,100,1.5288926184152074
ES,sphere,final,101,0.6381814545047518
ES,sphere,final,102,1.8622997319933154
ES,sphere,final,103,1.515802388456885
ES,sphere,final,104,1.579038121866068
ES,sphere,final,105,1.8821836684687547
ES,sphere,final,106,1.1136830276029992
ES,sphere,final,107,1.2784213640030249
ES,sphere,final,108,2.1422615502743336
ES,sphere,final,109,2.1160183544259423
ES,sphere,final,110,1.102146189635597
ES,sphere,final,111,2.5616308142781468
ES,sphere,final,112,1.8703989083821349
ES,sphere,final,113,1.2316182363685488
ES,sphere,final,114,2.0695590691675596
ES,sphere,final,115,1.2556918013800562
ES,sphere,final,116,1.8403511459873627
ES,sphere,final,117,1.573995709323969
ES,sphere,final,118,2.20377280112739
ES,sphere,final,119,1.8907884029103532
GA,sphere,pilot,0,0.02321637508501323
GA,sphere,pilot,1,0.01615726294803339
